=== e+ 投入ゲート ===
  エントリ 281件 / 照合したURL 905本
  A 実ページの枠合計 962 / ビルドの枠合計 1407
  B 公演の取りこぼし 3件

[NOTE] 注意（FAILにはしない）＝実ページの枠 < ビルドの枠 128件:
   発売前の公演は個別ページに窓を出さないことがある。ビルドはbaseページから拾っている。
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030695P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030696P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030697P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030698P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030699P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030700P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030701P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0035110001-P0030702P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0035110001-P0030705P021002
   id21209  斉藤和義                     実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0035110001-P0030705P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド8枠  https://eplus.jp/sf/detail/0035110001-P0030706P021002
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030706P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド6枠  https://eplus.jp/sf/detail/0035110001-P0030707P021002
   id21209  斉藤和義                     実ページ0枠 / ビルド6枠  https://eplus.jp/sf/detail/0035110001-P0030707P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/0035110001-P0030708P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/0035110001-P0030709P021001
   id21210  松任谷由実                    実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0115600001-P0030383P021001
   id21210  松任谷由実                    実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0115600001-P0030383P021002
   id21227  角松敏生                     実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0022440001-P0030384P021001
   id21227  角松敏生                     実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0022440001-P0030389P021001
   id21227  角松敏生                     実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0022440001-P0030390P021001
   id21227  角松敏生                     実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/0022440001-P0030387P021001
   id21230  藤澤ノリマサ                   実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0274120001-P0030159P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0011630001-P0030745P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/0011630001-P0030752P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/0011630001-P0030753P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0011630001-P0030772P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド8枠  https://eplus.jp/sf/detail/0011630001-P0030761P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0011630001-P0030768P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0011630001-P0030754P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド13枠  https://eplus.jp/sf/detail/0011630001-P0030763P021001
   id21241  LiSA                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0534530001-P0030205P021001
   id21241  LiSA                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0534530001-P0030206P021002
   id21241  LiSA                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0534530001-P0030206P021001
   id21242  清水ミチコ                    実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/0084810001-P0030358P021001
   id21242  清水ミチコ                    実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/0084810001-P0030360P021001
   id21242  清水ミチコ                    実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/0084810001-P0030366P021001
   id21242  清水ミチコ                    実ページ0枠 / ビルド6枠  https://eplus.jp/sf/detail/0084810001-P0030378P021001
   id21252  アーバンギャルド 十九周年記念公演:超詩劇    実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/0287760001-P0030352P021001
   id21267  SUPER BEAVER 都会のラクダ DO   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0254310017-P0030413P021001
   id21267  SUPER BEAVER 都会のラクダ DO   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0254310017-P0030413P021002
   id21275  ズーカラデル                   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/2716560001-P0030120P021001
   id21275  ズーカラデル                   実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/2716560001-P0030122P021001
   id21275  ズーカラデル                   実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/2716560001-P0030123P021001
   id21275  ズーカラデル                   実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/2716560001-P0030125P021001
   id21275  ズーカラデル                   実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/2716560001-P0030126P021001
   id21283  syrup16g                 実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0052440001-P0030103P021001
   id21283  syrup16g                 実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/0052440001-P0030104P021001
   id21283  syrup16g                 実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/0052440001-P0030102P021001
   id21283  syrup16g                 実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/0052440001-P0030110P021001
   id21290  神聖かまってちゃん                実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0370370001-P0030272P021001
   id21290  神聖かまってちゃん                実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0370370001-P0030274P021001
   id21295  People In The Box        実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0243200001-P0030426P021001
   id21295  People In The Box        実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/0243200001-P0030431P021001
   id21298  THE ALFEE                実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0000230001-P0030822P021001
   id21298  THE ALFEE                実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0000230001-P0030814P021001
   id21298  THE ALFEE                実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0000230001-P0030815P021001
   id21298  THE ALFEE                実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0000230001-P0030817P021001
   id21298  THE ALFEE                実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0000230001-P0030817P021002
   id21298  THE ALFEE                実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0000230001-P0030819P021002
   id21298  THE ALFEE                実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0000230001-P0030819P021001
   id21298  THE ALFEE                実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0000230001-P0030824P021001
   id21298  THE ALFEE                実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0000230001-P0030813P021002
   id21298  THE ALFEE                実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0000230001-P0030813P021001
   id21299  SCOOBIE DO CHAMP RECOR   実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/0038920001-P0030644P021003
   id21301  ザ50回転ズ                   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0146670001-P0030402P021001
   id21301  ザ50回転ズ                   実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0146670001-P0030411P021001
   id21305  PLUE ONEMAN ”青のラブストーリー   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/4583460001-P0030001P021001
   id21308  DIR EN GREY              実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0043320001-P0030507P021001
   id21308  DIR EN GREY              実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0043320001-P0030507P021002
   id21308  DIR EN GREY              実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0043320001-P0030518P021001
   id21358  ミスイ ミスイ一時保存ツアー           実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/4324220001-P0030008P021001
   id21377  ザアザア                     実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/1908230001-P0030082P021001
   id21377  ザアザア                     実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/1908230001-P0030083P021001
   id21377  ザアザア                     実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/1908230001-P0030086P021001
   id21377  ザアザア                     実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/1908230001-P0030089P021001
   id21377  ザアザア                     実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/1908230001-P0030090P021001
   id21377  ザアザア                     実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/1908230001-P0030091P021001

🚨 A 枠数が合わない 5件（**投入しない**）:
   id21241  LiSA                     実ページ3枠 ≠ ビルド1枠
      URL: https://eplus.jp/sf/detail/0534530001-P0030208P021001
      ページ: 先着一般発売 2026-09-05〜2026-11-01
      ページ: 先着一般発売 2026-09-05〜2026-11-01
      ページ: 先着一般発売 2026-09-05〜2026-11-01
      ビルド: 先着一般発売（大分県 11/3公演）〜11/1 20:00
   id21298  THE ALFEE                実ページ2枠 ≠ ビルド1枠
      URL: https://eplus.jp/sf/detail/0000230001-P0030818P021002
      ページ: 抽選一般発売 2026-10-17〜2026-10-18
      ページ: 抽選一般発売 2026-10-17〜2026-10-18
      ビルド: 抽選一般発売（神奈川県 11/27公演）10/17 10:00発売
   id21298  THE ALFEE                実ページ2枠 ≠ ビルド1枠
      URL: https://eplus.jp/sf/detail/0000230001-P0030818P021001
      ページ: 抽選一般発売 2026-10-17〜2026-10-18
      ページ: 抽選一般発売 2026-10-17〜2026-10-18
      ビルド: 抽選一般発売（神奈川県 11/28公演）10/17 10:00発売
   id21298  THE ALFEE                実ページ2枠 ≠ ビルド1枠
      URL: https://eplus.jp/sf/detail/0000230001-P0030820P021001
      ページ: 抽選WEB抽選先行 2026-09-15〜2026-09-23
      ページ: 抽選WEB抽選先行 2026-09-15〜2026-09-23
      ビルド: 抽選WEB抽選先行（東京都 12/23公演）〜9/23 23:00
   id21298  THE ALFEE                実ページ2枠 ≠ ビルド1枠
      URL: https://eplus.jp/sf/detail/0000230001-P0030820P021002
      ページ: 抽選WEB抽選先行 2026-09-15〜2026-09-23
      ページ: 抽選WEB抽選先行 2026-09-15〜2026-09-23
      ビルド: 抽選WEB抽選先行（東京都 12/24公演）〜9/23 23:00

🚨 B 同じ公演名の他の公演がアーティストページにある 3件（**投入しない**）:
   id21357  『Aiming』Multiple ＋1公演
      2026-10-26 EDGE ikebukuro  https://eplus.jp/sf/detail/4570810001-P0030001P021001
   id21380  【熱地獄】～第四話～「CHAQLA.を脅かせ!2」 ＋1公演
      2026-12-14 GT LIVE TOKYO  https://eplus.jp/sf/detail/4604930001-P0030001P021001
   id21402  「俺たちがHEROです。」 ＋7公演
      2026-09-27 長野 LIVE HOUSE J  https://eplus.jp/sf/detail/4528760001-P0030001P021001
      2026-10-10 金沢AZ  https://eplus.jp/sf/detail/4528780001-P0030001P021001
      2026-10-12 和歌山 CLUB GATE  https://eplus.jp/sf/detail/4528790001-P0030001P021001
      2026-11-15 LOUD AFFECTION  https://eplus.jp/sf/detail/4528810001-P0030001P021001
      2026-11-29 前橋DYVER  https://eplus.jp/sf/detail/4528830001-P0030001P021001
      2026-12-06 graf  https://eplus.jp/sf/detail/4528840001-P0030001P021001
      2026-12-13 岡山CRAZYMAMA 2nd Room  https://eplus.jp/sf/detail/4528850001-P0030001P021001

=== ❌ FAIL: 枠または公演が落ちている。直してから再ビルドすること ===
exit=1
