# 新着プール 87件（id | 公演名 | 会場 | 県 | 公演日 | ぴあURL）
4967 | ミュージカル『ファインディング・ネバーランド』 | 全国ツアー（日生劇場／東京エレクトロンホール宮城／梅田芸術劇場メインホール） | 東京・宮城・大阪 | 2027-02-15 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670259
4968 | アニメ『ケロロ軍曹』20周年御礼!～舞台挨拶付き『超劇場版』&『新劇場版』上映会であります!～ | TOHOシネマズ日比谷 | 東京 | 2026-08-29 | https://t.pia.jp/pia/event/event.do?eventCd=2632917
4969 | アニメ『スティール・ボール・ラン ジョジョの奇妙な冒険』全国5都市横断1st STAGE上映イベント | ユナイテッド・シネマ アクアシティお台場 | 東京 | 2026-09-05 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2667304
4970 | 映画『しびれ』完成披露舞台挨拶 | TOHOシネマズ六本木ヒルズ | 東京 | 2026-08-30 | https://t.pia.jp/pia/event/event.do?eventCd=2631720
4971 | 映画『ホーム スイート ホーム』公開記念舞台挨拶 | 全国ツアー（ユナイテッド・シネマ アクアシティお台場／イオンシネマ板橋／kino cinema 新宿／大阪ステーションシティシネマ／ミッドランドスクエアシネマ） | 東京・大阪・愛知 | 2026-09-06 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2669792
4972 | からぴちパラダイスARENA TOUR 2026 ～シンフォニーエクスプレス～in Kアリーナ ライブビューイング DAY公演〈北海道～関東〉 | 全国ツアー（イオンシネマ旭川駅前／イオンシネマ江別／イオンシネマ小樽／イオンシネマ北見／イオンシネマ釧路／札幌シネマフロンティア／ディノスシネマズ苫小牧／ローソン・ユナイテッドシネマ札幌／イオンシネマ新青森／イオンシネマ弘前／イオンシネマ江釣子／フォーラム盛岡／イオンシネマ石巻／イオンシネマ新利府／イオンシネマ名取／MOVIX仙台／イオンシネマ大曲／イオンシネマ天童／イオンシネマ三川／イオンシネマ米沢／ソラリス／フォーラム東根／イオンシネマ福島／ポレポレシネマズいわき小名浜／イオンシネマ下妻／イオンシネマ守谷／TOHOシネマズひたちなか／MOVIXつくば／109シネマズ佐野／フォーラム那須塩原／MOVIX宇都宮／イオンシネマ太田／イオンシネマ高崎／MOVIX伊勢崎／イオンシネマ浦和美園／イオンシネマ大井／イオンシネマ大宮／イオンシネマ春日部／イオンシネマ川口／イオンシネマ熊谷／イオンシネマ 越谷レイクタウン／イオンシネマ羽生／109シネマズ菖蒲／T・ジョイ エミテラス所沢／MOVIXさいたま／ユナイテッド・シネマ ウニクス上里／ユナイテッド・シネマ ウニクス秩父／ユナイテッド・シネマ浦和／ユナイテッド・シネマわかば／ローソン・ユナイテッドシネマ入間／イオンシネマ市川妙典／イオンシネマ千葉ニュータウン／イオンシネマ銚子／イオンシネマ幕張新都心／京成ローザ10／T・ジョイ蘇我／TOHOシネマズ市原／成田HUMAXシネマズ／MOVIX柏の葉／ユナイテッド・シネマ テラスモール松戸／イオンシネマ板橋／イオンシネマ シアタス調布／イオンシネマ多摩センター／イオンシネマ八王子滝山／イオンシネマ日の出／池袋HUMAXシネマズ／109シネマズグランベリーパーク／109シネマズ二子玉川／新宿バルト9／T・ジョイSEIBU大泉／T・ジョイPRINCE品川／TOHOシネマズ日比谷／MOVIX昭島／MOVIX亀有／ユナイテッド・シネマ豊洲／イオンシネマ港北ニュータウン／イオンシネマ座間／イオンシネマ新百合ヶ丘／イオンシネマ茅ヶ崎／109シネマズ川崎／109シネマズ湘南／TOHOシネマズ海老名／TOHOシネマズ小田原／TOHOシネマズららぽーと横浜／MOVIX橋本／横須賀HUMAXシネマズ／横浜ブルク13） | 全国 | 2026-10-04 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670231
4973 | からぴちパラダイスARENA TOUR 2026 ～シンフォニーエクスプレス～in Kアリーナ ライブビューイング DAY公演〈中国～九州・沖縄〉 | 全国ツアー（倉吉パープルタウン シネマエポック／MOVIX日吉津／イオンシネマ松江／T・ジョイ出雲／イオンシネマ岡山／MOVIX倉敷／広島バルト11／福山コロナシネマワールド／MOVIX広島駅／イオンシネマ防府／シネマサンシャイン下関／シネマ・スクエア7／MOVIX周南／イオンシネマ徳島／イオンシネマ宇多津／イオンシネマ高松東／イオンシネマ今治新都市／シネマサンシャイン衣山／TOHOシネマズ高知／イオンシネマ大野城／イオンシネマ戸畑／イオンシネマ福岡／シネマサンシャイン飯塚／セントラルシネマ大牟田／T・ジョイ久留米／T・ジョイ リバーウォーク北九州／TOHOシネマズ直方／TOHOシネマズ福津／TOHOシネマズららぽーと福岡／ユナイテッド・シネマ キャナルシティ13／ユナイテッド・シネマ トリアス久山／ユナイテッド・シネマ福岡ももち／イオンシネマ佐賀大和／シネマボックス太陽／熊本ピカデリー／TOHOシネマズはません／セントラルシネマ三光／T・ジョイパークプレイス大分／TOHOシネマズ大分わさだ／ワンダーアティックシネマ／鹿児島ミッテ10／シネマサンシャイン姶良／ローソン・ユナイテッドシネマ PARCO CITY 浦添） | 全国 | 2026-10-04 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670230
4974 | からぴちパラダイスARENA TOUR 2026 ～シンフォニーエクスプレス～in Kアリーナ ライブビューイング DAY公演〈甲信越～関西〉 | 全国ツアー（イオンシネマ県央／J MAX THEATER 上越／T・ジョイ長岡／T・ジョイ新潟万代／イオンシネマとなみ／J MAX THEATER とやま／イオンシネマ新小松／イオンシネマ白山／鯖江アレックスシネマ／福井コロナシネマワールド／TOHOシネマズ甲府／イオンシネマ須坂／イオンシネマ松本／岡谷スカラ座7／TOHOシネマズ上田／イオンシネマ各務原／イオンシネマ土岐／大垣コロナシネマワールド／TOHOシネマズ岐阜／イオンシネマ富士宮／シネプラザ サントムーン／TOHOシネマズ浜松／MOVIX清水／イオンシネマ大高／イオンシネマ岡崎／イオンシネマ豊川／イオンシネマ豊田KiTARA／イオンシネマ長久手／イオンシネマ名古屋茶屋／イオンシネマ ワンダー／109シネマズ名古屋／シネマワールドららぽーと安城／TOHOシネマズ木曽川／ミッドランドシネマ名古屋空港／ミッドランドスクエアシネマ／MOVIX三好／ユナイテッド・シネマ稲沢／ユナイテッド・シネマ豊橋18／イオンシネマ鈴鹿／イオンシネマ津南／イオンシネマ東員／イオンシネマ近江八幡／イオンシネマ京都桂川／イオンシネマ久御山／イオンシネマ高の原／T・ジョイ京都／TOHOシネマズ二条／MOVIX京都／イオンシネマ茨木／イオンシネマ シアタス心斎橋／イオンシネマ四條畷／イオンシネマ大日／109シネマズ大阪エキスポシティ／大阪ステーションシティシネマ／TOHOシネマズくずはモール／TOHOシネマズセブンパーク天美／TOHOシネマズ泉北／TOHOシネマズなんば／TOHOシネマズららぽーと門真／MOVIX八尾／ユナイテッド・シネマ岸和田／アースシネマズ姫路／イオンシネマ明石／イオンシネマ加古川／イオンシネマ三田ウッディタウン／109シネマズHAT神戸／TOHOシネマズ西宮OS／シネマサンシャイン大和郡山／ユナイテッド・シネマ橿原／イオンシネマ和歌山） | 全国 | 2026-10-04 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670233
4975 | からぴちパラダイスARENA TOUR 2026 ～シンフォニーエクスプレス～in Kアリーナ ライブビューイング NIGHT公演〈北海道～関東〉 | 全国ツアー（イオンシネマ旭川駅前／イオンシネマ江別／イオンシネマ小樽／イオンシネマ北見／イオンシネマ釧路／札幌シネマフロンティア／ディノスシネマズ苫小牧／ローソン・ユナイテッドシネマ札幌／イオンシネマ新青森／イオンシネマ弘前／イオンシネマ江釣子／フォーラム盛岡／イオンシネマ石巻／イオンシネマ新利府／イオンシネマ名取／MOVIX仙台／イオンシネマ大曲／イオンシネマ天童／イオンシネマ三川／イオンシネマ米沢／ソラリス／フォーラム東根／イオンシネマ福島／ポレポレシネマズいわき小名浜／イオンシネマ下妻／イオンシネマ守谷／TOHOシネマズ水戸内原／MOVIXつくば／109シネマズ佐野／フォーラム那須塩原／MOVIX宇都宮／イオンシネマ太田／イオンシネマ高崎／MOVIX伊勢崎／イオンシネマ浦和美園／イオンシネマ大井／イオンシネマ大宮／イオンシネマ春日部／イオンシネマ川口／イオンシネマ熊谷／イオンシネマ 越谷レイクタウン／イオンシネマ羽生／T・ジョイ エミテラス所沢／TOHOシネマズららぽーと富士見／MOVIXさいたま／ユナイテッド・シネマ ウニクス上里／ユナイテッド・シネマ ウニクス秩父／ユナイテッド・シネマ浦和／ユナイテッド・シネマわかば／ローソン・ユナイテッドシネマ入間／イオンシネマ市川妙典／イオンシネマ千葉ニュータウン／イオンシネマ銚子／イオンシネマ幕張新都心／T・ジョイ蘇我／TOHOシネマズ市原／TOHOシネマズ八千代緑が丘／ユナイテッド・シネマ テラスモール松戸／イオンシネマ板橋／イオンシネマ シアタス調布／イオンシネマ多摩センター／イオンシネマ八王子滝山／イオンシネマ日の出／109シネマズグランベリーパーク／109シネマズ二子玉川／新宿バルト9／TOHOシネマズ池袋／MOVIX昭島／MOVIX亀有／ユナイテッド・シネマ豊洲／イオンシネマ港北ニュータウン／イオンシネマ座間／イオンシネマ新百合ヶ丘／イオンシネマ茅ヶ崎／109シネマズ川崎／109シネマズ湘南／TOHOシネマズ小田原／TOHOシネマズららぽーと横浜／MOVIX橋本／横浜ブルク13） | 全国 | 2026-10-04 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670235
4976 | からぴちパラダイスARENA TOUR 2026 ～シンフォニーエクスプレス～in Kアリーナ ライブビューイング NIGHT公演〈中国～九州・沖縄〉 | 全国ツアー（倉吉パープルタウン シネマエポック／MOVIX日吉津／イオンシネマ松江／T・ジョイ出雲／イオンシネマ岡山／MOVIX倉敷／広島バルト11／福山コロナシネマワールド／MOVIX広島駅／イオンシネマ防府／シネマサンシャイン下関／シネマ・スクエア7／MOVIX周南／イオンシネマ徳島／イオンシネマ宇多津／イオンシネマ高松東／イオンシネマ今治新都市／シネマサンシャイン衣山／イオンシネマ大野城／イオンシネマ戸畑／イオンシネマ福岡／シネマサンシャイン飯塚／T・ジョイ久留米／TOHOシネマズ福津／ユナイテッド・シネマ キャナルシティ13／ユナイテッド・シネマ トリアス久山／ユナイテッド・シネマ福岡ももち／イオンシネマ佐賀大和／シネマボックス太陽／熊本ピカデリー／TOHOシネマズ熊本サクラマチ／T・ジョイパークプレイス大分／TOHOシネマズ大分わさだ／鹿児島ミッテ10／シネマサンシャイン姶良／ローソン・ユナイテッドシネマ PARCO CITY 浦添） | 全国 | 2026-10-04 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670234
