== id1 さだまさしコンサートツアー2026 神さまの言うとおり | pref=千葉・愛知 | date=2026-11-25
   [非表示] 一般発売（三重 10/3公演）8/18 10:00発売 | 2026-08-18 | event/event.do?eventCd=2621795
   [非表示] 一般発売（大阪 8/23公演）〜8/20 23:59 | 2026-08-20 | event/event.do?eventCd=2613761
   [非表示] 一般発売（山形 8/22公演）〜8/21 23:59 | 2026-08-21 | event/event.do?eventCd=2614357
   [表示] 一般発売（富山 10/4公演）〜10/3 18:00 | 2026-10-03 | ail/0981850002-P0030038P021001
   [表示] 一般発売（三重 10/3公演）〜9/27 23:59 | 2026-09-27 | -
== id3118 沢田研二 | pref=愛知・広島・福岡・埼玉 | date=2026-11-17
   [非表示] 一般発売（愛知 10/26公演）8/22 10:00発売 | 2026-08-22 | event/event.do?eventCd=2626852
   [表示] 一般発売（福岡 9/3公演）〜9/2 23:59 | 2026-09-02 | event/event.do?eventCd=2628711
   [表示] 一般発売（埼玉 9/24公演）9/10 10:00発売 | 2026-09-10 | event/event.do?eventCd=2633093
   [表示] 一般発売（広島 10/9公演）〜9/23 23:59 | 2026-09-23 | event/event.do?eventCd=2627003
   [非表示] プリセール（広島 10/9公演）〜8/6 23:59 | 2026-08-06 | event/event.do?eventCd=2627003
   [非表示] 先行（愛知 10/26公演）8/8 10:00発売 | 2026-08-16 | event/event.do?eventCd=2626852
   [表示] 一般発売（東京 11/16公演）〜10/29 23:59 | 2026-10-29 | event/event.do?eventCd=2625711
   [表示] 一般発売（東京 11/17公演）〜11/1 23:59 | 2026-11-01 | event/event.do?eventCd=2625711
== id3926 ジャパン・ビアフェスティバル横浜2026 | pref=神奈川 | date=2026-09-13
   [非表示] 一般発売（神奈川 9/12〜9/13公演）8/19 10:00発売 | 2026-08-19 | event/event.do?eventCd=2631688
   [表示] 一般発売＜お昼の回＞（神奈川 9/12 11:30公演）〜9/11 23:59 | 2026-09-11 | ail/4576960001-P0030001P021001
   [表示] 一般発売＜午後の回＞（神奈川 9/12 15:30公演）〜9/11 23:59 | 2026-09-11 | ail/4576960001-P0030001P021002
   [表示] 一般発売＜お昼の回＞（神奈川 9/13 10:30公演）〜9/12 23:59 | 2026-09-12 | ail/4576960001-P0030001P021003
   [表示] 一般発売＜午後の回＞（神奈川 9/13 14:30公演）〜9/12 23:59 | 2026-09-12 | ail/4576960001-P0030001P021004
   [表示] 一般発売（神奈川 9/12〜9/13公演）〜9/12 23:59 | 2026-09-12 | -
== id4704 タクフェス第14弾『北の島から』 | pref=大阪・愛知・北海道・東京 | date=2026-12-20
   [表示] 一般発売（大阪 11/26〜11/29公演）8/23 10:00発売 | 2026-08-23 | vent.do?eventBundleCd=b2669977
   [表示] 一般発売（愛知 11/20〜11/22公演）8/23 10:00発売 | 2026-08-23 | vent.do?eventBundleCd=b2669977
   [表示] 一般発売（北海道 12/5公演）8/23 10:00発売 | 2026-08-23 | vent.do?eventBundleCd=b2669977
   [表示] 一般発売（東京 11/12〜12/20公演）8/23 10:00発売 | 2026-08-23 | vent.do?eventBundleCd=b2669977
   [表示] 一般発売【TAKUFESシート】（東京 12/11〜12/20公演）8/23 10:00発売 | 2026-08-23 | vent.do?eventBundleCd=b2669977
   [表示] 一般発売（東京 11/12公演）8/23 10:00発売 | 2026-08-23 | -
   [表示] 一般発売（東京 12/11〜12/20公演）8/23 10:00発売 | 2026-08-23 | -
== id4918 第76回 関西吹奏楽コンクール | pref=滋賀・大阪 | date=2026-08-30
   [非表示] 一般発売【中学生A部門、高等学校A部門】（大阪 8/29〜8/30公演）8/22 10:00発売 | 2026-08-22 | event/event.do?eventCd=2624302
   [表示] 一般発売【大学、職場・一般の部】（滋賀 8/23公演）〜8/23 18:08 | 2026-08-23 | event/event.do?eventCd=2624302
   [表示] 一般発売【小学生の部、中学生小編成の部、高等学校小編成の部】（滋賀 8/22〜8/24公演）〜8/24 13:02 | 2026-08-24 | event/event.do?eventCd=2624302
   [表示] 一般発売【中学生A部門、高等学校A部門】（大阪 8/29〜8/30公演）〜8/30 19:00 | 2026-08-30 | -
