1037	演劇 / バレエ・ダンス	おどる絵本『みえるとか みえないとか』
1038	演劇 / 寄席・お笑い	よしもとお笑いライブｉｎ所沢
1039	演劇 / 寄席・お笑い	ザ☆笑撃！！スペシャルものまねライブ２０２６
1040	演劇 / 歌舞伎・古典芸能	三谷文楽『人形ぎらい』
1041	演劇 / 寄席・お笑い	新潟漫才選集
1042	演劇 / 寄席・お笑い	次代育成落語会
1043	演劇 / 演劇	舞台『ペパロニ・ヴァンパイア』
1044	演劇 / 演劇	劇団東演公演 ピアノ・ソナタ「月光」による朗読劇『月光の夏』
1045	演劇 / 演劇	大長編 男肉 ｄｕ Ｓｏｌｅｉｌ
1046	演劇 / 演劇	大長編 男肉 ｄｕ Ｓｏｌｅｉｌ 「陰謀論と朝まで踊れ ｗｗ」高知公
1047	演劇 / 朗読・リーディング	朗読劇舞台『永久保貴一の極めて怖い話 ２０２６』
1048	演劇 / バレエ・ダンス	チャイコフスキー・バレエ劇場「くるみ割り人形」「白鳥の湖」
1049	演劇 / 寄席・お笑い	大須演芸場 ８月定席寄席 ”怪談噺”（１日～４日） ”寄席を学ぼう”
1050	演劇 / 寄席・お笑い	新宿末廣亭７月余一会
1051	演劇 / バレエ・ダンス	東京バレエ団 オネーギン 全３幕
1052	演劇 / 寄席・お笑い	河内家菊水丸東京独演会２０２６
1053	演劇 / 寄席・お笑い	立川小春志芸歴二十周年記念落語会ｉｎ名古屋（第６２回あきつ落語会） 
1054	演劇 / 歌舞伎・古典芸能	第４８回 小金井薪能
1055	演劇 / 寄席・お笑い	桂文珍・春風亭小朝 東西落語名人会
1056		「ナイボー！」
1057	演劇 / 演劇	『うま-馬に乗ってこの世の外へ-』
1058	演劇 / 朗読・リーディング	『ものがたりの劇場「不思議の国のアリス」』
1059	演劇 / 演劇	『アメリカン・ドリーム』
1060	演劇 / 寄席・お笑い	けんこう一番！秋スペシャル 第３８回三遊亭兼好独演会
1061	演劇 / 寄席・お笑い	ほしのディスコ ４ｔｈ Ｓｏｌｏ Ｌｉｖｅ ＩＫＡＲＩ
1062	演劇 / 朗読・リーディング	声優朗読劇フォアレーゼン～黒いリボンの葬列～
1063	演劇 / ミュージカル・ショー	日生劇場ファミリーフェスティヴァル ２０２６ 音楽劇「アヤとピノッキ
1064	演劇 / 寄席・お笑い	桃月庵白酒 独演会 ｖｏｌ．１０
1065	演劇 / 演劇	ｕｎｒａｔｏ＃１４ 『夢去りて、オルフェ』
1066	演劇 / 演劇	2026年劇団☆新感線46周年興行・夏公演 SHINKANSEN☆R
1067	演劇 / 寄席・お笑い	笑福亭たま名古屋独演会～２０２６秋～
1068	演劇 / 歌舞伎・古典芸能	２０２６年 茂山狂言会・秋 千五郎襲名１０周年記念
1069	演劇 / 演劇その他	ＡＵＢＡＤＥ ＨＡＬＬ Ｐｒｏｄｕｃｅ 「越中八尾おわら風の盆 前夜
1070	演劇 / ミュージカル・ショー	ミュージカル「夢から醒めた夢」
1071	演劇 / ミュージカル・ショー	ミュージカル『ニコラ・テスラ～エジソンが恐れた孤高の天才～』
1072	演劇 / 寄席・お笑い	第４０回浜北寄席 柳家喬太郎 春風亭一之輔 二人会
1073	演劇 / 寄席・お笑い	日本列島大捜査網 THE柳沢慎吾劇場 ★ ROCK45TOUR
1074	演劇 / 寄席・お笑い	立川寸志真打昇進披露落語会
1075		ミュージカル『民王』
1076		リーディングドラマ「すぐ死ぬんだから」
1077	演劇 / 寄席・お笑い	兵動大樹のおしゃべり大好き。４８
1078	演劇 / 演劇	大竹しのぶ ＬＩＶＥ×ＡＣＴ 「ＮＡ・ＮＩ・ＭＯ・ＮＯ」
1079	演劇 / 演劇	沼の中の淑女たち
1080	演劇 / 寄席・お笑い	爆笑！！お笑いスーパーライブｉｎ盛岡
1081	演劇 / 寄席・お笑い	第二十二回高砂落語会 桂三四郎 三遊亭わん丈 二人会
1082		舞台『メイユール・ソワレ～最高の夜公演～』
1083	演劇 / 人形劇・キャラクター	ノンタンのハッピーコンサート『ノンタンのわくわくピクニック』
1084	演劇 / 寄席・お笑い	柳亭市馬・柳家三三 二人会 ｗｉｔｈ ロケット団
1085	演劇 / 寄席・お笑い	桂文枝・春風亭小朝 東西落語名人会
1086	演劇 / 朗読・リーディング	神津カンナプロデュース 耳で読む文学 第１７弾
