n	name	ids	genres	venues	dates	visible_counts
2	なつかしい × あたらしい なにわブルースフェスティバル2026	907,3115	jpop|rock	なんばHatch|なんばHatch	2026-09-21|2026-09-20	1,1
2	みゆな	5342,5343	jpop	Live&Lounge Vio|musica hall cafe	2026-11-03|2026-11-06	1,1
2	アンセットシス	3677,4713	classic	谷山サザンホール|渋谷区文化総合センター大和田 さくらホール	2027-02-14|2026-12-02	1,1
2	イリーナ・メジューエワ（p）	3657,3723	classic	宗次ホール|京都コンサートホール 小ホール	2026-12-05|2026-10-23	1,1
2	ウルフルズ	4951,5043	jpop	フェスティバルホール|全国ツアー（広島JMSアステールプラザ 大ホール／島根県芸術文化センター「グラントワ」大ホール／カルッツかわさき（川崎市スポーツ・文化総合センター）ホール／小樽市民会館／根室市総合文化会館 大ホール／さいたま市文化センター 大ホール／東京エレクトロン韮崎文化ホール 大ホール）	2026-12-31|2026-10-17	1,6
2	ガンバレ☆プロレス	5645,5646	sports	高島平区民館|後楽園ホール	2026-10-12|2026-12-22	1,1
2	ビッケブランカ	5781,5875	jpop	全国ツアー（仙台市若林区文化センター／フェスティバルホール／LINE CUBE SHIBUYA）|フェスティバルホール	2026-10-25|2026-10-14	3,1
2	ピュアミュージック 2026『残暑お見舞いツアー』	576,732	jpop	CLUB CITTA'|スペードボックス	2026-09-11|2026-09-06	1,0
2	プッシュプルポット	5245,5266	jpop	名古屋クラブクアトロ|静岡UMBER	2027-01-17|2026-12-12	1,1
2	ミュージカル『SPY×FAMILY 2 爆弾犬篇＆豪華客船篇』	353,4615	2.5ji|musical	全国ツアー（ウェスタ川越／東京建物ブリリアホール／やまぎん県民ホール／御園座／兵庫県立芸術文化センター／博多座）|御園座	2026-12-29|2026-12-19	4,1
2	人間椅子	5332,5349	jpop	エレクトリック・レディ・ランド|Zepp Haneda（TOKYO）	2026-11-20|2026-12-01	2,1
2	仙台フィルハーモニー管弦楽団	3610,4724	classic	全国ツアー（日立システムズホール仙台 コンサートホール／いわき芸術文化交流館アリオス アルパイン大ホール／ふくしん夢の音楽堂 大ホール）|東京エレクトロンホール宮城	2027-02-03|2026-12-19	5,1
