FANY 在庫しらべ  2026-09-21 〜 2026-12-31

genre=30 お笑い            2846件
genre=31 音楽               46件
genre=32 演劇/ステージ          49件
genre=33 スポーツ              4件
genre=34 アニメ               0件
genre=35 ゲーム               0件
genre=36 映画/LV             0件
genre=37 アート/イベント         41件
genre=38 劇場以外           1171件

ジャンル指定なし          2888件
ジャンル合計              4157件
