2026-11-26〜2026-11-29 | 大阪府 | 梅田芸術劇場シアター・ドラマシティ | 一般発売 ／ タクフェス第１４弾『北の島から』 | 発売前 | when=2026/8/23(日) 10:00より発売 | https://t.pia.jp/pia/ticketInformation.do?eventCd=2629341&rlsCd=001
2026-11-20〜2026-11-22 | 愛知県 | アマノ芸術創造センター名古屋 | 一般発売 ／ タクフェス第１４弾『北の島から』 | 発売前 | when=2026/8/23(日) 10:00より発売 | https://t.pia.jp/pia/ticketInformation.do?eventCd=2629606&rlsCd=001
2026-12-05〜2026-12-05 | 北海道 | 小樽市民会館 | 一般発売 ／ タクフェス第１４弾 『北の島から』小樽公演 | 発売前 | when=2026/8/23(日) 10:00より発売 | https://t.pia.jp/pia/ticketInformation.do?eventCd=2624968&rlsCd=002
2026-11-12〜2026-12-20 |  | 東京都 | 一般発売 ／ タクフェス第１４弾『北の島から』 | 発売前 | when=2026/8/23(日) 10:00より発売 | https://t.pia.jp/pia/ticketInformation.do?eventCd=2627577&rlsCd=001
2026-12-11〜2026-12-20 | 東京都 | サンシャイン劇場 | 一般発売＜ＴＡＫＵＦＥＳシート＞ ／ タクフェス第１４弾『北の島から』 | 発売前 | when=2026/8/23(日) 10:00より発売 | https://t.pia.jp/pia/ticketInformation.do?eventCd=2627577&rlsCd=003
2026-11-26〜2026-11-29 | 大阪府 | 梅田芸術劇場シアター・ドラマシティ | タクフェス第14弾『北の島から』 最終プレリザーブ | 受付終了 | when=2026/8/21(金) 昼12:00 | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=23348
2026-12-11〜2026-12-20 | 東京都 | サンシャイン劇場 | タクフェス第14弾『北の島から』〔東京〕 | 受付終了 | when= | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=26991
2026-12-11〜2026-12-20 | 東京都 | サンシャイン劇場 | タクフェス第14弾『北の島から』★2次受付〔東京〕 | 受付終了 | when= | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=89043
2026-11-26〜2026-11-29 | 大阪府 | 梅田芸術劇場シアター・ドラマシティ | タクフェス第14弾『北の島から』 プレイガイド最速先行 | 受付終了 | when= | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=09376
2026-12-11〜2026-12-20 | 東京都 | サンシャイン劇場 | タクフェス第14弾『北の島から』★3次受付〔東京〕 | 受付終了 | when= | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=07541
2026-11-26〜2026-11-29 | 大阪府 | 梅田芸術劇場シアター・ドラマシティ | タクフェス第14弾『北の島から』 プレリザーブ | 受付終了 | when= | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=12870
2026-12-05〜2026-12-05 | 北海道 | 小樽市民会館 | プリセール ／ タクフェス第１４弾 『北の島から』小樽公演 | 受付終了 | when= | https://t.pia.jp/pia/ticketInformation.do?eventCd=2624968&rlsCd=003
2026-12-11〜2026-12-20 | 東京都 | サンシャイン劇場 | プリセール ／ タクフェス第１４弾『北の島から』 | 受付終了 | when= | https://t.pia.jp/pia/ticketInformation.do?eventCd=2627577&rlsCd=002
