lg=01 受付中0101 の総数（絞り無し）= 4701

| 足した条件 | 総数 | 効いたか |
|---|---|---|
| sg=0101 | 4701 | 無視された |
| sg=01 | 4701 | 無視された |
| rg=01 | 1640 | 効いた |
| rg=0001 | 4701 | 無視された |
| pf=13(東京?) | 980 | 効いた |
| pref=13 | 4701 | 無視された |
| kw=(空) | 4701 | 無視された |
| rlsIn=03 | -1 | 無視された |
| area=01 | 4701 | 無視された |
