OSHINAVI 独立点検 / 基準日 2026-08-24 / index.html は読み取りのみ・ネットワーク未使用
エントリ総数 3297 件（verified=true 3297 / false 0）

========== A. 削除すべき（千秋楽が過去＋買える枠ゼロ）: 48 件 ==========
id=2049 | 第36回 上方歌舞伎会 | 第36回 上方歌舞伎会 | date=2026-08-23 | 締切=2026-08-18 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-18)
id=2385 | 段クリエイターのダンボール遊園地 in 秋田 | 段クリエイターのダンボール遊園地 in 秋田 | date=2026-08-23 | 締切=2026-08-23 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-23)
id=2534 | 大恐竜展 2026 | 大恐竜展 2026 | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=2550 | しあわせのぬいぐるみパーク展 | しあわせのぬいぐるみパーク展 | date=2026-08-23 | 締切=2026-08-23 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-23)
id=2672 | よしもとお笑いライブin水戸2026 | よしもとお笑いライブin水戸2026 | date=2026-08-23 | 締切=2026-08-21 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-21)
id=2737 | 松原タニシ44歳生誕祭 | 松原タニシ44歳生誕祭 | date=2026-08-23 | 締切=2026-08-23 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-23)
id=2846 | 【WEリーグ】セレッソ大阪ヤンマーレディース対アルビレックス新潟レディース WEリーグ リーグ戦 | 【WEリーグ】セレッソ大阪ヤンマーレディース対アルビレックス新潟レディース WEリーグ リーグ戦 | date=2026-08-23 | 締切=2026-08-23 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-23)
id=2931 | 第69回東北吹奏楽コンクール | 第69回東北吹奏楽コンクール | date=2026-08-23 | 締切=2026-08-22,2026-08-23 | 枠5(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-23)
id=3078 | パンダドラゴン | パンダドラゴン | date=2026-08-23 | 締切=2026-08-08,2026-08-10,2026-08-21,2026-08-22 | 枠5(売切0) | eplus | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=3103 | CHEMISTRY | CHEMISTRY | date=2026-08-23 | 締切=2026-08-06,2026-08-08,2026-08-12,2026-08-13,2026-08-20 | 枠5(売切0) | eplus | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-20)
