=== 発売前スイープ 新規候補 95件 (today=2026-08-02 / 発売まで4日以上を先頭) ===
 26 | 映画 | 発売2026/8/8(あと6日) | 映画『デス≠キル／ゲーム』 SPECIAL EVENT | 2026/9/5(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2668964
 27 | 映画 | 発売2026/8/8(あと6日) | 「仮面ライダーゼッツ＆仮面ライダーマイス」バトンタッチイベント | 2026/8/11(火・祝) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2629255
 28 | 映画 | 発売2026/8/8(あと6日) | 第４２５回市民の劇場 「第４８回ぎふアジア映画祭」 | 2026/9/22(火・祝) ～ 2026/11/15(日) | 岐阜県 | https://ticket.pia.jp/pia/event.do?eventCd=2624105
 29 | 映画 | 発売2026/8/8(あと6日) | メ～テレ×サンライズワールド ロボットアニメ上映会２０２６ | 2026/10/18(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2628860
 30 | イベント | 発売2026/8/8(あと6日) | 金沢おいも万博2026 | 2026/10/2(金) ～ 2026/10/5(月) | 石川県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669980
 31 | イベント | 発売2026/8/8(あと6日) | シルク・ドゥ・ソレイユ アース製薬 クーザ 東京公演／2月 | 2027/2/24(水) ～ 2027/2/28(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670058
 32 | イベント | 発売2026/8/8(あと6日) | シルク・ドゥ・ソレイユ アース製薬 クーザ 東京公演／3月 | 2027/3/1(月) ～ 2027/3/9(火) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670059
 33 | イベント | 発売2026/8/8(あと6日) | シルク・ドゥ・ソレイユ アース製薬 クーザ 東京公演／4月 | 2027/4/2(金) ～ 2027/4/10(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670110
 34 | イベント | 発売2026/8/8(あと6日) | ジャパンレプタイルズショー２０２６ ｉｎ 東京 ＧＹＭ－ＥＸ冬レプ | 2026/12/26(土) ～ 2026/12/27(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630338
 35 | イベント | 発売2026/8/8(あと6日) | 【福岡】ナゾトキ街歩きゲーム『福岡謎解き街歩き in 天神』 | 2026/10/1(木) ～ 2026/10/31(土) | 福岡県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2666323
 36 | クラシック | 発売2026/8/8(あと6日) | アンセットシス | 2027/2/14(日) | 鹿児島県 | https://ticket.pia.jp/pia/event.do?eventCd=2613525
 37 | クラシック | 発売2026/8/8(あと6日) | 親子のためのクラシックコンサート 音楽の絵本～ダンディズム～ | 2026/12/19(土) | 福岡県 | https://ticket.pia.jp/pia/event.do?eventCd=2623039
 38 | クラシック | 発売2026/8/8(あと6日) | 気軽にクラシック | 2026/11/3(火・祝) | 滋賀県 | https://ticket.pia.jp/pia/event.do?eventCd=2608722
 39 | クラシック | 発売2026/8/8(あと6日) | 室内管弦楽団『辯天』 第３１回演奏会 | 2026/11/8(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2630684
 40 | クラシック | 発売2026/8/8(あと6日) | 広島ウインドオーケストラ | 2026/11/8(日) | 広島県 | https://ticket.pia.jp/pia/event.do?eventCd=2626668
