33. ＫｏＮ×吉高志音 ＴＨＥ ＢＲＩＤＧＥ ＣＯＮＣＥＲＴ | 発売2026/6/23 | 公演2026/8/5(水) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2622151
34. ＴＨＥ ＳＡＫＩＳＨＩＭＡ ｍｅｅｔｉｎｇ | 発売2026/6/27 | 公演2026/9/19(土) | 沖縄県 | https://ticket.pia.jp/pia/event.do?eventCd=2623639
35. さくら前線 | 発売2026/7/8 | 公演2026/11/29(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2622363
36. 桜空／湯丹望湖／虹音／世優子 | 発売2026/6/20 | 公演2026/8/7(金) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2623594
37. 佐藤竹善／Ｎｅｉｇｈｂｏｒｓ Ｃｏｍｐｌａｉｎ | 発売2026/7/10 | 公演2026/10/3(土) | 山口県 | https://ticket.pia.jp/pia/event.do?eventCd=2604304
38. 佐藤竹善／Ｎｅｉｇｈｂｏｒｓ Ｃｏｍｐｌａｉｎ | 発売2026/6/28 | 公演2026/10/2(金) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2618320
39. 真田ナオキ | 発売2026/6/26 | 公演2026/9/24(木) ・ 2026/9/25(金) | 福岡県／熊本県 | https://ticket.pia.jp/pia/event.do?eventCd=2612529
40. 真田ナオキ コンサート2026 | 発売2026/6/22 | 公演2026/9/14(月) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2668330
41. Sunny Hock | 発売? | 公演2026/9/5(土) ・ 2026/9/20(日) ・ 2026/10/4(日) | 東京都／愛知県／大阪府 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2668818
42. 沢田研二 | 発売2026/6/19 | 公演2026/7/3(金) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2623180
43. 沢田研二 | 発売2026/6/19 | 公演2026/8/20(木) | 群馬県 | https://ticket.pia.jp/pia/event.do?eventCd=2623181
44. 沢田研二 | 発売2026/6/26 | 公演2026/9/13(日) | 静岡県 | https://ticket.pia.jp/pia/event.do?eventCd=2622880
45. 沢田聖子 | 発売2026/6/20 | 公演2026/8/1(土) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2622954
46. 財津和夫／姫野達也 | 発売? | 公演2026/9/12(土) | 新潟県 | https://ticket.pia.jp/pia/event.do?eventCd=2543254
47. ＴＨＥ ＤＵＥＴ ２０２６ 吉田美奈子＆森俊之 | 発売2026/6/27 | 公演2026/9/15(火) | 福岡県 | https://ticket.pia.jp/pia/event.do?eventCd=2620726
48. Ｔｈｅ Ｎｏｖｅｍｂｅｒｓ | 発売2026/7/4 | 公演2026/11/25(水) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2623588
49. THE BACK HORN | 発売2026/6/20 | 公演2026/7/25(土) | 岐阜県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2668655
