FANY 2026-09-22〜2027-03-22  総件数 2859件
    全体  200/2859件
    全体  400/2859件
    全体  600/2859件
    全体  800/2859件
    全体  1000/2859件
    全体  1200/2859件
    全体  1400/2859件
    全体  1600/2859件
    全体  1800/2859件
    全体  2000/2859件
    全体  2200/2859件
    全体  2400/2859件
    全体  2600/2859件
    全体  2800/2859件
  引けた公演 2859件 / 目標 2859件  取れなかったoffset 0個
    genre=30  200/2814件
    genre=30  400/2814件
    genre=30  600/2814件
    genre=30  800/2814件
    genre=30  1000/2814件
    genre=30  1200/2814件
    genre=30  1400/2814件
    genre=30  1600/2814件
    genre=30  1800/2814件
    genre=30  2000/2814件
    genre=30  2200/2814件
    genre=30  2400/2814件
    genre=30  2600/2814件
    genre=30  2800/2814件
  genre=30 お笑い        2814件（目標2814）
  genre=31 音楽         45件（目標45）
  genre=32 演劇/ステージ    48件（目標48）
  genre=33 スポーツ       4件（目標4）
  genre=37 アート/イベント   44件（目標44）
    genre=38  200/1186件
    genre=38  400/1186件
    genre=38  600/1186件
    genre=38  800/1186件
    genre=38  1000/1186件
  genre=38 劇場以外       1186件（目標1186）
→ tmp/fany_0922.json  公演 2859件 / 販売枠 7570枠
exit=0
