FANY 2026-09-21〜2027-03-31  総件数 2930件
    全体  200/2930件
    全体  400/2930件
    全体  600/2930件
    全体  800/2930件
    全体  1000/2930件
    全体  1200/2930件
    全体  1400/2930件
    全体  1600/2930件
    全体  1800/2930件
    全体  2000/2930件
    全体  2200/2930件
    全体  2400/2930件
    全体  2600/2930件
    全体  2800/2930件
  引けた公演 2930件 / 目標 2930件  取れなかったoffset 0個
    genre=30  200/2887件
    genre=30  400/2887件
    genre=30  600/2887件
    genre=30  800/2887件
    genre=30  1000/2887件
    genre=30  1200/2887件
    genre=30  1400/2887件
    genre=30  1600/2887件
    genre=30  1800/2887件
    genre=30  2000/2887件
    genre=30  2200/2887件
    genre=30  2400/2887件
    genre=30  2600/2887件
    genre=30  2800/2887件
  genre=30 お笑い        2887件（目標2887）
  genre=31 音楽         48件（目標48）
  genre=32 演劇/ステージ    49件（目標49）
  genre=33 スポーツ       4件（目標4）
  genre=37 アート/イベント   42件（目標42）
    genre=38  200/1213件
    genre=38  400/1213件
    genre=38  600/1213件
    genre=38  800/1213件
    genre=38  1000/1213件
    genre=38  1200/1213件
  genre=38 劇場以外       1213件（目標1213）
→ tmp/fany_0921.json  公演 2930件 / 販売枠 7791枠
