=== 週ごと：全体と「クリック最多の1本を外した後」===
週の始まり    本数  インプ    クリック  CTR      ｜外れ値1本を外すと クリック  CTR      ｜外した1本
2026-07-13     9      522       7    1.341%  ｜     3    0.599%  ｜ clk4 石川(7/31)はまだ一般発売中、7/16まで。 締切もカウ
2026-07-20    12      136       5    3.676%  ｜     2    1.550%  ｜ clk3 ブルーロックのほかにも、明日7/21は35件が発売開始。 高
2026-07-27    64    11108      27    0.243%  ｜    22    0.221%  ｜ clk5 https://t.co/agQLiPNfvM OSHINA
2026-08-03    11     3183      17    0.534%  ｜    11    0.518%  ｜ clk6 OSHINAVIの"7日発売"ピックアップ🎫 Stray K
2026-08-10    34     8602      35    0.407%  ｜    21    0.258%  ｜ clk14 OSHINAVIの"明日発売"ピックアップ🎫 ソ・ウングァン
2026-08-17    43    16869      36    0.213%  ｜    30    0.180%  ｜ clk6 OSHINAVIの"明日発売"ピックアップ🎫 ミュージカル『
2026-08-24    40    44776     137    0.306%  ｜    62    0.154%  ｜ clk75 年末はマツケンで締めるのよ。 明日8月28日(金)10:00
2026-08-31    45    80323      47    0.059%  ｜    41    0.055%  ｜ clk6 OSHINAVIの"9/1発売"ピックアップ🎫 明日9/1(

=== 1本あたりの平均（週ごと）===
週の始まり    1本あたりインプ  1本あたりクリック
2026-07-13         58          0.78
2026-07-20         11          0.42
2026-07-27        174          0.42
2026-08-03        289          1.55
2026-08-10        253          1.03
2026-08-17        392          0.84
2026-08-24       1119          3.42
2026-08-31       1785          1.04
