lg=01 total=532 pages=54
parsed items: 441 (fetched up to page 55)
already in DB (eventCd一致): 424 | NOT in DB (new candidates): 17
  うち 11件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_01_0913.json
 NEW | TODAY | 相川七瀬 | 2026/11/2(月) | 東京都
 NEW | 2026/10/3 | あつこ＆タニケン ハッピードレミ ハウス Ats | 2026/12/12(土) | 東京都
 NEW | 2026/9/26 | ANISON PREMIUM LIVE ささきい | 2026/12/13(日) | 宮城県
 NEW | 2026/10/3 | 荒牧陽子×よよよちゃん 歌まねジョイントコンサー | 2026/12/13(日) | 東京都
 NEW | 2026/10/25 | 押尾コータロー | 2026/12/18(金) | 大阪府
 NEW |  | ＣＵＴＩＥ ＳＴＲＥＥＴ〈仙台駅東口発シャトルバ | 2026/10/3(土) ・ 2026/10 | 宮城県
 NEW |  | ＣＵＴＩＥ ＳＴＲＥＥＴ〈駐車券〉 | 2026/10/3(土) ・ 2026/10 | 宮城県
 NEW | 2026/10/3 | ＫＯＫＩＡ | 2026/12/3(木) | 東京都
 NEW | 2026/9/19 | 古墳シスターズ | 2026/12/19(土) | 大阪府
 NEW | 2026/10/3 | saccharin | 2027/1/10(日) ・ 2027/1/ | 東京都／大阪府
 NEW | TODAY | Chevon | 2026/9/13(日) | 
 NEW | 2026/9/19 | ＳＩＯＮ’Ｓ ＳＱＵＡＤ | 2026/11/12(木) ・ 2026/1 | 京都府／大阪府
 NEW | 2026/10/16 | 白井貴子 ＆ THE CRAZY BOYS | 2027/1/23(土) | 神奈川県
 NEW | TODAY | ＸｎｇＨａｎ＆Ｘｏｕｌ | 2026/10/4(日) | 東京都
 NEW | 2026/9/19 | パソコン音楽クラブ | 2026/11/25(水) | 東京都
 NEW | 2026/9/16 | 未来プロジェクト 町田智子対談シリーズ Vol. | 2026/11/14(土) | 大分県
 NEW | 2026/10/3 | モーニング娘。’26 | 2026/10/31(土) ・ 2026/1 | 岩手県／宮城県
