lg=01 total=135 pages=14
parsed items: 125 (fetched up to page 15)
already in DB (eventCd一致): 76 | NOT in DB (new candidates): 49
  うち 28件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/01_pf26.json
 NEW |  | アナタ・ボリビア | 2026/10/16(金) ・ 2026/1 | 京都府／兵庫県
 NEW |  | 荒川夏蓮 クリスマスライブショー | 2026/12/19(土) | 京都府
 NEW |  | 杏里 | 2026/10/3(土) | 京都府
 NEW |  | eastern youth | 2026/11/7(土) | 京都府
 NEW |  | 瑛人×ＳＡＮＩＭＹＯＫ ＰＵＡＮ Ｌｉｖｅ２０２ | 2026/9/28(月) | 京都府
 NEW |  | EverBrighteller | 2026/8/22(土) ～ 2026/10 | 北海道／宮城県／東京都／神奈川県／京都府／大阪府
 NEW |  | AK-69 | 2026/11/23(月・祝) | 京都府
 NEW |  | 押尾コータロー | 2026/10/2(金) | 京都府
 NEW |  | Ochunism | 2026/12/19(土) | 京都府
 NEW |  | 影山ヒロノブ | 2026/9/6(日) ・ 2026/9/2 | 京都府／熊本県
 NEW |  | キュウソネコカミ | 2026/9/23(水・祝) | 京都府
 NEW |  | ９ｍｍ Ｐａｒａｂｅｌｌｕｍ Ｂｕｌｌｅｔ | 2026/9/26(土) | 京都府
 NEW |  | ＫＹＯＴＯ ＤＡＲＵＭＡ ＭＡＴＳＵＲＩ | 2026/11/15(日) | 京都府
 NEW |  | kurage | 2026/10/28(水) | 京都府
 NEW |  | 近藤真彦 | 2026/10/4(日) | 京都府
 NEW |  | Ｓｕｍｍｅｒ Ｅｙｅ | 2026/10/3(土) | 京都府
 NEW |  | 沢田研二 | 2026/10/8(木) | 京都府
 NEW |  | Ｓｕｒｖｉｖｅ Ｓａｉｄ Ｔｈｅ Ｐｒｏｐｈｅｔ | 2026/9/11(金) | 京都府
 NEW |  | Ｊｕｉｃｅ＝Ｊｕｉｃｅ | 2026/9/24(木) | 京都府
 NEW |  | ＳＵＧＩＺＯ | 2026/11/23(月・祝) | 京都府
 NEW |  | 杉田二郎・きたやまおさむ ８０歳バースデーコンサ | 2026/11/29(日) | 京都府
 NEW |  | 鈴木雅之 | 2026/10/16(金) | 京都府
 NEW |  | ＳＯ×ＤＹ | 2026/11/23(月・祝) ・ 2026 | 京都府／大阪府
 NEW |  | つきみ | 2026/4/26(日) ～ 2027/1/ | 北海道／宮城県／茨城県／栃木県／千葉県／新潟県／石川県／静岡県／愛知県／京都府／大阪府／兵庫県／広島県／香川県／高知県／福岡県
 NEW |  | TENDOUJI | 2026/9/22(火・祝) | 京都府
