引く名前 30
[1/30] hits=5 missing=0
[2/30] hits=17 missing=1
[3/30] hits=1 missing=1
[4/30] hits=8 missing=1
[5/30] hits=11 missing=1
[6/30] hits=18 missing=1
[7/30] hits=3 missing=0
[8/30] hits=8 missing=0
[9/30] hits=19 missing=1
[10/30] hits=11 missing=3
[11/30] hits=1 missing=0
[12/30] hits=15 missing=3
[13/30] hits=3 missing=0
[14/30] hits=12 missing=4
[15/30] hits=3 missing=0
[16/30] hits=5 missing=0
[17/30] hits=4 missing=1
[18/30] hits=11 missing=2
[19/30] hits=4 missing=0
[20/30] hits=5 missing=0
[21/30] hits=1 missing=0
[22/30] hits=1 missing=0
[23/30] hits=1 missing=0
[24/30] hits=15 missing=2
[25/30] hits=1 missing=0
[26/30] hits=1 missing=0
[27/30] hits=1 missing=0
[28/30] hits=33 missing=3
[29/30] hits=1 missing=0
[30/30] hits=19 missing=2
→ tmp/x0918/audit_posts2.txt
