ぴあ lg=02 で9/12〜9/14発売の行 69件 ／ OSHINAVIにその日の枠が無い 9件
  2026-09-12 PARCO PRODUCE 2026 髪結いの亭主 | 一般発売 | 新国立劇場 小劇場(東京都) | 登録あり id6524（その日の枠なし）
  2026-09-12 ミュージカル『SPY×FAMILY 2 爆弾犬篇＆豪華客船篇』 | 一般発売 | 博多座(福岡県) | 登録あり id353（その日の枠なし）
  2026-09-12 桂文珍独演会 | 先行抽選 | 神戸国際会館こくさいホール(兵庫県) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671038
  2026-09-12 桂米團治 独演会 | 先行抽選 | 銀座ブロッサム（中央会館）(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670964
  2026-09-12 シークレット歌劇團０９３１ 「北の国のアリス」 | 先行抽選 | カナモトホール(北海道) | 登録あり id4837（その日の枠なし）
  2026-09-12 ゾゾッとＴＯＷＮ大ライブ２０２６ツアー ～３０周年５０歳～ ツアーファイナルｉｎＬＩＮＥ ＣＵＢＥ！！ | 先行抽選 | ＬＩＮＥ ＣＵＢＥ ＳＨＩＢＵＹＡ(東京都) | 登録あり id6117（その日の枠なし）
  2026-09-12 昼・『タケトのオトナ道徳ＴＯＷＮ初ライブ～クラスメイト集まれ～』 | 先行抽選 | 沼津ラクーンよしもと劇場(静岡県) | 登録あり id6126（その日の枠なし）
  2026-09-12 夜・『ゾゾッとＴＯＷＮ大ライブ２０２６ツアー ～３０周年５０歳～』 | 先行抽選 | 沼津ラクーンよしもと劇場(静岡県) | 登録あり id6133（その日の枠なし）
  2026-09-13 劇団四季「リトルマーメイド」／舞浜 東京ディズニーリゾート(R)セットチケット | 一般発売 | 舞浜アンフィシアター(千葉県) | 登録あり id4635（その日の枠なし）
