=== e+ 発売前スイープのまとめ（2026-09-21）===
  anime-song            3件
  classic               0件
  enka                  7件
  hiphop-rap            2件
  idol                 11件
  jazz-fusion          10件
  k-pop-asian           0件
  rock-indies          52件
  visual              161件

ユニーク（登録済みを外した）= 237件

  4599180001 | 2026/11/19(木) | rock-indies          | 先着 『SHINJUKU LOFT 50th ANNIVERSARY PINK OR BLU
  4602030001 | 2026/11/19(木) | rock-indies          | 先着 凛としてくれ一夜限りの再結成 そこに鳴るVS凛としてくれ ～鈴木重厚生誕祭～
  4600140001 | 2026/11/2(月) | visual               | 先着 cubrick presents「二転三転」vol.112
  0370370001 | 2026/11/20(金) | rock-indies          | 先着 神聖かまってちゃん
  1143360001 | 2026/11/20(金) | rock-indies          | 先着 Homecomings
  4603480001 | 2026/11/20(金) | visual               | 先着 NoGoD 単独大布教-TOUR 2026- EXPERIMENTAL STAGE～F
  4597140001 | 2026/11/21(土) | rock-indies          | 先着 SNAZZY TUNES×over print pre. 『over fest 202
  4592170001 | 2026/11/21(土) | rock-indies          | 先着 THE冠「MY NAME IS HEAVY METAL～最終章～」
  4604110001 | 2026/11/21(土) | rock-indies          | 先着 金子マリ presents 5th element will
  4577110001 | 2026/11/21(土) | visual               | 先着 ダウト19～20周年記念47都道府県TOUR「ダウト鬼念火」
  4231380001 | 2026/11/22(日) | anime-song           | 抽選 青木葉 ONE-MAN TOUR 2026 『GARDEN』
  3514520001 | 2026/11/22(日) | rock-indies          | 先着 わんちゃんわんわんねこにゃんにゃん わんちゃんわんわんねこにゃんにゃん 6th ANN
  4591530001 | 2026/11/22(日) | rock-indies          | 先着 THE冠「MY NAME IS HEAVY METAL～最終章～」
  4574210001 | 2026/11/22(日) | visual               | 先着 【ペアチケット】BabyKingdom 休園ワンマンライブツアー 『UNITED HE
  4603150001 | 2026/11/23(月・祝) | enka                 | 先着 真田ナオキランチディナーショー 待望の地元開催
  0007660001 | 2026/11/23(月・祝) | rock-indies          | 先着 POLYSICS 突然ワンマンシリーズvol.3～シャチホコれ名古屋!～
  2127270001 | 2026/11/23(月・祝) | rock-indies          | 先着 神はサイコロを振らない
  4578090001 | 2026/11/24(火) | visual               | 抽選 グラビティ ONEMAN 音楽 -myu生誕祭2026-
  0243200001 | 2026/11/25(水) | rock-indies          | 先着 People In The Box
  4593970001 | 2026/11/25(水) | rock-indies          | 先着 SHINJUKU LOFT 50th ANNIVERSARY 『ENDSCAPE vo
  4601590001 | 2026/11/25(水) | rock-indies          | 先着 Johnnivan - Club Angie in Tokyo
  4596480001 | 2026/11/25(水) | visual               | 先着 『Black out』
  4587110001 | 2026/11/26(木) | visual               | 先着 MAMA. 関東TOUR 「湖に沈んだ街」FINAL
  4600220001 | 2026/11/26(木) | visual               | 先着 MEME×tzkwym 「血湧き肉躍る」-final-
  0000230001 | 2026/11/27(金) | rock-indies          | 抽選 THE ALFEE
  4601650001 | 2026/11/27(金) | visual               | 抽選 GRAVITY ONEMAN 衣装ガチャVol.2
  4603420001 | 2026/11/27(金) | visual               | 抽選 旅は道連れツアー「オヒトリサマ5」
  0038920001 | 2026/11/28(土) | rock-indies          | 先着 SCOOBIE DO CHAMP RECORDS 20周年記念ライブ / でら編
  4560500001 | 2026/11/28(土) | rock-indies          | 先着 もひげpre.Hi again!!
  4603440001 | 2026/11/28(土) | visual               | 抽選 旅は道連れツアー「オヒトリサマ6」
  1876320001 | 2026/11/29(日) | jazz-fusion/rock-indies | 先着 toconoma
  4595820001 | 2026/11/29(日) | rock-indies          | 先着 60’s～70’sロックを楽しもう - The Beatlesとアナログ盤を語る2&レ
  0146670001 | 2026/11/29(日) | rock-indies          | 先着 ザ50回転ズ
  4592810001 | 2026/11/29(日) | rock-indies          | 先着 onion night!LV85!
  4585830001 | 2026/11/29(日) | rock-indies          | 先着 「CHAMP RECORDS 20周年記念ライブ / めっちゃ編」
  4603500001 | 2026/11/29(日) | visual               | 先着 NoGoD 単独大布教-TOUR 2026- EXPERIMENTAL STAGE～F
  3799290001 | 2026/11/3(火・祝) | idol                 | 先着 来栖りん
  2716560001 | 2026/11/3(火・祝) | rock-indies          | 先着 ズーカラデル
  4566550001 | 2026/11/30(月) | visual               | 抽選 ゼラ Oneman Tour 『Kinetic Horror Show』
  4584020001 | 2026/11/30(月) | visual               | 先着 『Aiming』Multiple
  4566540001 | 2026/11/4(水) | visual               | 先着 ゼラOneman Tour 『Kinetic Horror Show』
  4600550001 | 2026/11/6(金) | rock-indies          | 先着 日日是好日「KONSHIN TOUR」
  4604890001 | 2026/11/6(金) | rock-indies          | 先着 山本恭司 弾き語り･弾きまくりギター三昧 in 出雲
  4574640001 | 2026/11/6(金) | visual               | 先着 Moi dix Mois Guerre par procuration d’Hiros
  4586360001 | 2026/11/6(金) | visual               | 先着 MAMA. 関東TOUR 「湖に沈んだ街」
  4597970001 | 2026/11/6(金) | visual               | 先着 THE_PiTY.ONEMAN TOUR2026-2027「DRAWING PRIMA
  4600330001 | 2026/11/7(土) | rock-indies          | 先着 かずき山盛り スペシャルLIVE in専修大学鳳祭
  4591600001 | 2026/11/7(土) | rock-indies          | 先着 MY NAME IS HEAVY METAL～最終章～
  4574650001 | 2026/11/7(土) | visual               | 先着 Moi dix Mois Guerre par procuration d’Hiros
  4578150001 | 2026/11/7(土) | visual               | 先着 ダウト19～20周年記念47都道府県TOUR 「ダウト鬼念火」
  4594890001 | 2026/11/8(日) | rock-indies          | 先着 T.N.T Live at Ohtori Festival <専修大学鳳祭>
  4578160001 | 2026/11/8(日) | visual               | 先着 ダウト19～20周年記念47都道府県TOUR 「ダウト鬼念火」
  4598320001 | 2026/11/9(月) | rock-indies          | 先着 SHINJUKU LOFT 50th ANNIVERSARY 「激突★流血キノコDol
  4594600001 | 2026/11/9(月) | visual               | 先着 おいでよ!幽霊ズ主催 【熱地獄】第三話
  4603160001 | 2026/11/9(月) | visual               | 先着 ホタル結成25周年&再結成10周年 2時間ドラマシリーズ 歌謡サスペンス激情傑作選「ホ
  0010030001 | 2026/12/10(木) | rock-indies          | 先着 SHERBETS
  1161170001 | 2026/12/10(木) | rock-indies          | 先着 GLIM SPANKY
  4603140001 | 2026/12/10(木) | visual               | 抽選 Planet CHILD Music presents 『暴年會』
  4606600001 | 2026/12/11(金) | rock-indies          | 先着 TOTONOI CLUB ONE MAN SHOW!!!! 『飛び出せ!ととのいクラブ
  4569380001 | 2026/12/11(金) | visual               | 抽選 HELLBROTH主催 『暗黒武術界 -THE FINAL-』
