引く名前 27
[1/27] hits=4 missing=1
[2/27] hits=1 missing=0
[3/27] hits=11 missing=1
[4/27] hits=23 missing=1
[5/27] hits=11 missing=4
[6/27] hits=1 missing=0
[7/27] hits=2 missing=0
[8/27] hits=1 missing=0
[9/27] hits=7 missing=1
[10/27] hits=7 missing=1
[11/27] hits=4 missing=0
[12/27] hits=5 missing=0
[13/27] hits=6 missing=1
[14/27] hits=4 missing=0
[15/27] hits=1 missing=0
[16/27] hits=9 missing=0
[17/27] hits=1 missing=0
[18/27] hits=1 missing=0
[19/27] hits=1 missing=0
[20/27] hits=8 missing=0
[21/27] hits=2 missing=0
[22/27] hits=2 missing=1
[23/27] hits=3 missing=0
[24/27] hits=1 missing=0
[25/27] hits=1 missing=0
[26/27] hits=7 missing=0
[27/27] hits=3 missing=0
→ tmp/x0921/audit_posts2.txt
