FANY 2026-09-22〜2027-04-10  総件数 2850件
    全体  200/2850件
    全体  400/2850件
    全体  600/2850件
    全体  800/2850件
    全体  1000/2850件
    全体  1200/2850件
    全体  1400/2850件
    全体  1600/2850件
    全体  1800/2850件
    全体  2000/2850件
    全体  2200/2850件
    全体  2400/2850件
    全体  2600/2850件
    全体  2800/2850件
  引けた公演 2850件 / 目標 2850件  取れなかったoffset 0個
    genre=30  200/2808件
    genre=30  400/2808件
    genre=30  600/2808件
    genre=30  800/2808件
    genre=30  1000/2808件
    genre=30  1200/2808件
    genre=30  1400/2808件
    genre=30  1600/2808件
    genre=30  1800/2808件
    genre=30  2000/2808件
    genre=30  2200/2808件
    genre=30  2400/2808件
    genre=30  2600/2808件
    genre=30  2800/2808件
  genre=30 お笑い        2808件（目標2808）
  genre=31 音楽         45件（目標45）
  genre=32 演劇/ステージ    48件（目標48）
  genre=33 スポーツ       4件（目標4）
  genre=37 アート/イベント   41件（目標41）
    genre=38  200/1177件
    genre=38  400/1177件
    genre=38  600/1177件
    genre=38  800/1177件
    genre=38  1000/1177件
  genre=38 劇場以外       1177件（目標1177）
→ tmp/fany_0921n.json  公演 2850件 / 販売枠 7569枠
